bust,hips,waist,height,gender
8,8,7,24,female
8,19,14,63,female
9,20,17,49,female
9,45,41,60,female
10,11,9,46,female
10,19,20,44,female
10,16,31,66,female
10,36,52,47,female
11,13,10,48,female
11,19,10,68,female
11,19,21,49,female
11,44,40,40,female
12,14,11,60,female
12,13,20,69,female
12,17,49,54,female
13,17,17,47,female
13,16,23,72,female
13,11,26,48,female
13,11,26,48,female
15,15,13,57,female
15,17,14,60,female
15,17,16,38,female
15,20,17,57,female
15,40,38,60,female
15,63,48,60,female
16,15,10,53,female
16,28,12,49,female
16,30,18,30,female
16,20,20,44,female
16,21,20,45,female
16,30,21,47,female
16,30,22,45,female
16,17,24,51,female
16,22,25,60,female
16,62,47,62,female
16,62,47,62,female
17,18,11,56,female
17,28,13,60,female
17,45,14,60,female
17,20,16,57,female
17,19,18,51,female
17,21,20,59,female
17,45,41,65,female
17,63,48,60,female
18,23,11,48,female
18,30,11,47,female
18,20,13,47,female
18,17,15,58,female
18,18,16,57,female
18,18,16,60,female
18,20,16,45,female
18,17,17,41,female
18,20,17,38,female
18,17,20,51,female
18,22,29,39,female
18,14,50,44,female
19,24,11,40,female
19,19,12,50,female
19,17,18,50,female
19,18,21,43,female
19,20,22,47,female
19,26,22,68,female
19,27,23,58,female
19,39,37,59,female
19,39,37,59,female
19,59,45,60,female
20,19,14,53,female
20,17,15,59,female
20,20,18,49,female
20,18,20,57,female
20,20,20,50,female
21,30,10,35,female
21,18,14,59,female
21,18,16,58,female
21,17,20,43,female
21,23,21,59,female
23,40,37,59,female
28,26,25,69,female
28,28,26,69,female
28,28,27,82,female
29,28,27,87,female
30,29,26,65,female
31,35,27,63,female
31,28,28,68,female
32,29,27,67,female
32,37,27,66,female
32,31,31,86,female
32,32,32,89,female
33,36,27,61,female
34,35,26,64,female
34,38,30,68,female
35,40,29,65,female
35,40,29,67,female
37,27,26,74,female
37,42,31,62,female
41,52,36,63,female
